,price
0,18.0884
1,17.582
2,17.948
3,18.314
4,17.548000000000002
5,17.9042
6,18.112000000000002
7,18.931
8,18.788
9,19.78
10,20.351999999999997
11,20.254
12,20.4078
13,21.032
14,20.866
15,20.5026
16,19.826999999999998
17,20.3004
18,20.4
19,21.754399999999997
20,22.39
21,21.9968
22,22.2322
23,22.333999999999996
24,22.726
25,23.482400000000002
26,23.867
27,24.1036
28,23.766000000000002
29,24.2224
30,25.387999999999998
31,26.085199999999997
32,26.149199999999997
33,27.237599999999997
34,27.157999999999998
35,27.5268
36,27.866999999999997
37,27.9764
38,27.443400000000004
39,27.390000000000004
40,27.595999999999997
41,26.4432
42,26.391399999999997
43,25.094
44,25.14
45,24.79
46,24.442
47,23.854000000000003
48,23.407
49,24.0254
50,25.2306
51,25.774
52,25.715000000000003
53,26.362599999999997
54,26.5704
55,26.458
56,27.4
57,26.867399999999996
58,27.0058
59,27.889
60,29.025
61,29.304000000000002
62,29.262
63,29.436
64,30.022000000000002
65,31.300400000000003
66,31.788
67,32.5874
68,33.964999999999996
69,35.653200000000005
70,34.980399999999996
71,35.11
72,35.330000000000005
73,36.199
74,36.314
75,35.08
76,36.8714
77,38.562599999999996
78,39.2846
79,40.11
80,41.286
81,42.081
82,42.148799999999994
83,41.73120000000001
84,41.977999999999994
85,43.7118
86,43.751400000000004
87,43.886
88,45.199
89,45.278000000000006
90,44.97
91,45.04879999999999
92,47.8316
93,49.834399999999995
94,52.916
95,53.67999999999999
96,48.986
97,50.636
98,50.824
99,51.9524
100,54.586
101,56.4856
102,57.869600000000005
103,60.24000000000001
104,57.102
105,53.485200000000006
106,57.230000000000004
107,57.9572
108,55.5778
109,57.608000000000004
110,59.166399999999996
111,54.28399999999999
112,52.470000000000006
113,52.52
114,51.90400000000001
115,50.3504
116,49.361599999999996
117,49.638999999999996
118,52.431999999999995
119,52.617999999999995
120,51.638
121,53.1826
122,53.5
123,51.694
124,49.318200000000004
125,49.504
126,49.4658
127,48.38
128,48.208000000000006
129,45.7538
130,46.114
131,44.209999999999994
132,45.052
133,45.641
134,41.3344
135,40.491
136,41.585
137,41.721
138,39.7946
139,36.8018
140,36.251999999999995
141,35.166000000000004
142,34.93
143,37.001999999999995
144,36.019999999999996
145,37.0118
146,40.258
147,39.539
148,39.344
149,38.7758
150,39.248400000000004
151,41.089999999999996
152,42.196
153,42.646
154,44.2092
155,44.604
156,44.12320000000001
157,43.4822
158,43.466
159,44.872
160,45.648
161,46.574999999999996
162,45.2016
163,47.81699999999999
164,49.577
165,49.962399999999995
166,49.628
167,49.158
168,47.7676
169,45.58200000000001
170,41.971999999999994
171,41.980000000000004
172,42.936
173,42.550200000000004
174,44.9606
175,45.670399999999994
176,45.5184
177,45.8316
178,46.022
179,47.068200000000004
180,43.7024
181,43.318
182,42.015
183,41.661
184,41.7294
185,43.7116
186,44.057599999999994
187,42.682
188,41.492599999999996
189,41.053000000000004
190,41.5986
191,41.43599999999999
192,40.566199999999995
193,41.654
194,41.929
195,41.8386
196,42.8996
197,41.973800000000004
198,43.66700000000001
199,47.3298
200,48.5934
201,48.882000000000005
202,50.689
203,51.1476
204,48.696000000000005
205,49.406
206,51.483799999999995
207,53.226
208,51.013
209,50.226800000000004
210,49.288
211,43.679
212,46.8826
213,49.221
214,49.0458
215,51.001999999999995
216,52.410000000000004
217,53.416399999999996
218,52.008
219,55.61579999999999
220,55.525999999999996
221,53.501999999999995
222,55.5536
223,56.314
224,57.7582
225,62.234
226,64.1892
227,69.41799999999999
228,68.214
229,70.0798
230,69.1222
231,70.63199999999999
232,65.6964
233,66.431
234,70.874
235,68.758
236,66.225
237,67.84799999999998
238,65.82300000000001
239,67.348
240,70.4968
241,72.8172
242,72.694
243,77.0898
244,78.7988
245,75.089
246,75.7826
247,75.04220000000001
248,75.2984
249,75.0162
250,74.1592
251,70.7786
252,72.07566666666666
