"price"
17.1168
16.0264
16.0786
16.8186
16.6044
15.4404
16.2232
16.407
17.3478
17.0348
17.7942
18.1978
18.1104
17.9332
19.0716
18.5572
17.8684
17.3472
17.8412
18.399
19.5166
19.6768
19.5246
19.6436
20.122
20.807
20.9986
21.7186
21.967
21.6018
21.874
22.3244
23.4116
23.3258
24.2924
24.1222
24.515
25.059
25.2092
24.9062
24.867
25.4294
23.8894
24.1146
23.5328
23.717
23.5962
22.9498
22.817
22.5962
22.7594
23.735
24.4176
24.0706
24.3292
24.5418
24.8174
25.198
25.9846
25.4182
25.6788
26.2724
26.9876
27.19
27.6856
27.7652
28.5158
29.201
29.2544
30.4246
31.4776
31.5716
31.3778
31.3576
32.2452
32.3596
30.9174
31.4586
32.7322
33.273
33.7138
35.1232
35.3298
35.9234
35.0038
34.859
35.637
37.1008
36.65
38.1232
38.2694
38.5478
38.3038
40.25
42.857
43.8424
46.034
43.2182
42.0408
43.1778
43.3912
44.9956
46.89
46.64
48.37
47.882
44.1
44.336
47.17
46.456
45.27
47.384
46.772
43.364
42.486
42.664
41.638
40.778
41.372
43.508
44.79
44.188
45.304
45.358
44.56
42.384
42.494
42.378
41.652
41.262
39.816
39.298
39.7
38.804
39.532
36.354
34.506
35.518
36.068
35.082
32.022
31.52
31.054
29.924
33.058
31.49
32.332
34.456
35.642
35.338
34.138
34.628
36.132
37.076
37.918
38.488
39.096
39.126
38.358
38.518
39.582
40.06
41.216
39.958
42.216
43.789
44.493
44.403
43.587
42.474
40.226
37.263
37.696
37.886
38.22
39.722
40.543
40.548
40.76
41.2
42.36
39.24
38.54
38.14
37.31
38.33
39.74
40.01
38.89
37.988
37.435
37.895
37.063
36.51
38.03
37.755
38.134
39.112
38.02
39.308
42.618
43.908
44.505
46.462
45.323
44.018
45.46
48.24
49.016
46.508
45.276
42.212
40.264
44.473
44.398
45.734
47.982
48.647
48.607
50.401
51.554
50.132
48.992
49.572
50.73
54.704
56.498
60.248
61.712
60.2
59.372
59.558
57.608
55.394
59.008
58.83
56.14
57.26
56.704
56.436
58.222
61.014
61.602
62.576
66.474
65.542
64.072
63.646
62.62
62.424
61.136
60.834
57.22
